Dragon_aryu	2017/02/14 23:22:41	@I5wyla9Fc1QcWQD 泣きそう https://t.co/30C3qOW1vD
xxyui_07	2017/02/14 23:22:42	人の幸せ見たり聞いたりするの好き💗\n癒されるしほんわかする😌
rom_ryoya	2017/02/14 23:22:42	となりの、のっぐちー、のっ、ぐーちー♪（となりのトトロ風）
ginrenxxx	2017/02/14 23:22:42	ソロ徒花2秒たらなかったでござる
kurumi_kaname	2017/02/14 23:22:42	@lookaway0707 関東にいる時もあまり会えてなかったもんねぇ…😢
Animedai12	2017/02/14 23:22:42	@Nobita_Hokan \nあと、お誕生日おめでとうございます！
unktmr	2017/02/14 23:22:42	所詮この世の有象無象に期待するのは無駄なこと\nわたしがリアル主義なのもそのせい
3_7_meigen_bot	2017/02/14 23:22:42	すまいるんるん♪
mbb_mnb	2017/02/14 23:22:42	それでも尚コーラ https://t.co/bkUYu1CB2E
Natalie_44vy	2017/02/14 23:22:42	RT @nakamar808080: ジュウめがバレンタイン https://t.co/qdAL1zWpO7
Superblunova1	2017/02/14 23:22:42	「ドラゴンボールZ ドッカンバトル」\nハッピーバレンタイン!!\nかわいいあの子が仲間に・・・!?\n「ヒロインコレクション」ガシャ開催中!!\nhttps://t.co/7bGE3sEerW  \n#ドラゴンボール #ドッカンバトル #つくってドッカン #バレンタイン
yasu_44uw	2017/02/14 23:22:42	バレンタインは貰えませんでしたが\n塾の生徒の一人から\n合格しましたありがとうって内容の\n手紙貰えて心がめちゃめちゃハッピー✨\n教師なりてぇなー😳😳😳\nって改めてなりました！
kyarenasian	2017/02/14 23:22:42	めっちゃ気持ち分かります…😯 https://t.co/8DFLcWHHJn
mra_130_p	2017/02/14 23:22:43	明日剣道ないし漢字テストもないから最高すぎてわくわくしてる
jurinamatsui038	2017/02/14 23:22:43	RT @misosan48: 11日アルバムイベント\n18日全ツ＠千葉\n19日S公演の昼（珠理奈）\n25日KII公演の夜（誕生月公演）\n\nなんて実現したら2月が神過ぎて事故りそう。
MARsdalk	2017/02/14 23:22:43	あれ？バインタインじゃないよwなんだっけ？
ktk_naa	2017/02/14 23:22:43	@__xkx_akt   \n\n京都の北部！
noix519	2017/02/14 23:22:43	別垢でフォローしてる人だったびっくりしたwww
